epoch,aptitude,team_name,starter,pokemon_1,pokemon_2,pokemon_3,pokemon_4,pokemon_5,pokemon_6
0,108,Team 98,1,Snorlax,Scrafty,Aipom,Pikachu,Bulbasaur,Typhlosion
0,135,Random 62,3,Golurk,Tentacool,Bidoof,Spearow,Golbat,Scizor
0,139,Random 73,5,Gengar,Spiritomb,Gabite,Kabuto,Magmar,Simipour
0,143,Team 44,1,Tynamo,Krokorok,Eevee,Empoleon,Pelipper,Minior
0,147,Team 86,5,Drampa,Gligar,Furret,Kakuna,Xatu,Clauncher
0,158,Team 52,0,Vanillish,Ralts,Slugma,Accelgor,Mankey,Nuzleaf
0,159,Random 85,5,Kadabra,Shiftry,Wailord,Morelull,Dragonair,Heliolisk
0,163,Random 72,0,Jellicent,Relicanth,Toxapex,Linoone,Sneasel,Zangoose
0,166,Random 94,1,Chinchou,Munchlax,Breloom,Spiritomb,Wailord,Kommo-o
0,166,Random 97,1,Charmander,Wailmer,Gastrodon,Vespiquen,Sewaddle,Stunfisk
0,174,Team 0,4,Volcarona,Empoleon,Golett,Salandit,Wailord,Crawdaunt
0,178,Random 90,1,Herdier,Finneon,Magmortar,Swirlix,Crawdaunt,Kadabra
0,200,Random 92,0,Mienfoo,Sliggoo,Masquerain,Sigilyph,Aromatisse,Typhlosion
0,203,Random 63,5,Gurdurr,Pansage,Metagross,Kangaskhan,Ivysaur,Skrelp
0,207,Random 50,0,Oddish,Tirtouga,Minun,Gastly,Plusle,Type: Null
0,223,Random 70,2,Tropius,Graveler,Rhydon,Monferno,Cofagrigus,Eelektross
0,230,Team 38,2,Hypno,Yamask,Klefki,Noctowl,Hydreigon,Dusclops
0,258,Random 83,0,Qwilfish,Sableye,Froakie,Vanilluxe,Pidove,Wormadam
0,278,Team 58,1,Luxray,Emboar,Barboach,Magnezone,Snorlax,Nuzleaf
0,281,Random 82,3,Carvanha,Pidgey,Tangela,Greninja,Oddish,Growlithe
0,288,Random 53,4,Froslass,Mamoswine,Flareon,Chimchar,Haxorus,Linoone
0,291,Random 56,3,Luxray,Rotom,Garbodor,Ninetales,Nincada,Dedenne
0,307,Random 57,2,Pansage,Cinccino,Doublade,Steenee,Clefable,Meganium
0,313,Team 36,1,Happiny,Steelix,Toucannon,Delibird,Heatmor,Duskull
0,319,Random 89,4,Magnezone,Skiddo,Cradily,Sentret,Togedemaru,Paras
0,330,Team 8,4,Gible,Mamoswine,Granbull,Unfezant,Spheal,Steenee
0,343,Team 7,0,Bounsweet,Heatmor,Butterfree,Amoonguss,Ursaring,Granbull
0,348,Random 60,5,Meowstic-M,Fomantis,Sawk,Meowstic-F,Gigalith,Talonflame
